question_id,category,difficulty,strategy,approach_mean,approach_ci,accuracy_mean,accuracy_ci,sources_mean,sources_ci,Failed,iterations,tool_calls,tokens,duration_s,total_input_tokens,total_output_tokens,total_cached_tokens,input_tokens,output_tokens,cached_tokens,reasoning_tokens
1,Knowledge retrieval and interpretation,Easy,attributes,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,6,9,261305,117.4,256284,5021,0,256284,5021,0,0
3,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,6,10,240667,91.5,237526,3141,0,237526,3141,0,0
19,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",3.0,"[3.000, 3.000]",False,4,4,105632,62.1,103439,2193,0,103439,2193,0,0
20,Knowledge retrieval and interpretation,Easy,attributes,5.0,"[5.000, 5.000]",0.8,"[0.800, 0.800]",3.0,"[3.000, 3.000]",False,14,16,610340,150.6,606721,3619,0,606721,3619,0,0
22,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,5,6,148410,96.1,145445,2965,0,145445,2965,0,0
24,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,8,12,348082,129.1,344169,3913,0,344169,3913,0,0
40,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",0.2,"[0.200, 0.200]",3.0,"[3.000, 3.000]",False,4,3,84110,44.8,82137,1973,0,82137,1973,0,0
41,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",3.0,"[3.000, 3.000]",False,3,3,71467,39.9,70236,1231,0,70236,1231,0,0
43,Markets data retrieval only,Medium,attributes,4.0,"[4.000, 4.000]",0.5,"[0.500, 0.500]",2.0,"[2.000, 2.000]",False,8,7,156479,46.0,153520,2959,0,153520,2959,0,0
65,Markets data retrieval only,Easy,attributes,4.0,"[4.000, 4.000]",0.75,"[0.750, 0.750]",2.0,"[2.000, 2.000]",False,5,4,97195,34.1,95204,1991,0,95204,1991,0,0
124,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",3.0,"[3.000, 3.000]",False,4,3,74430,21.1,73392,1038,0,73392,1038,0,0
127,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",3.0,"[3.000, 3.000]",False,8,7,139499,151.2,138221,1278,0,138221,1278,0,0
140,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,4,3,265952,21.5,265234,718,0,265234,718,0,0
141,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",4.0,"[4.000, 4.000]",False,11,10,897909,73.4,894822,3087,0,894822,3087,0,0
144,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,13,12,1060329,164.9,1057298,3031,0,1057298,3031,0,0
153,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,5,4,90103,50.5,89153,950,0,89153,950,0,0
156,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",0.9,"[0.900, 0.900]",1.0,"[1.000, 1.000]",False,5,4,83273,140.3,82454,819,0,82454,819,0,0
172,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,21,20,1868614,230.3,1863346,5268,0,1863346,5268,0,0
188,Knowledge retrieval and interpretation,Easy,attributes,3.0,"[3.000, 3.000]",0.4,"[0.400, 0.400]",2.0,"[2.000, 2.000]",False,3,3,264944,51.3,262175,2769,0,262175,2769,0,0
