question_id,category,difficulty,strategy,approach_mean,approach_ci,accuracy_mean,accuracy_ci,sources_mean,sources_ci,Failed,iterations,tool_calls,tokens,duration_s,total_input_tokens,total_output_tokens,total_cached_tokens,input_tokens,output_tokens,cached_tokens,reasoning_tokens
1,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",0.8,"[0.800, 0.800]",2.0,"[2.000, 2.000]",False,9,8,234813,847.4,232905,1908,0,232905,1908,0,0
3,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",False,13,12,763502,261.2,761955,1547,0,761955,1547,0,0
19,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",False,8,7,238882,91.6,237870,1012,0,237870,1012,0,0
20,Knowledge retrieval and interpretation,Easy,attributes,5.0,"[5.000, 5.000]",0.6,"[0.600, 0.600]",3.0,"[3.000, 3.000]",False,7,6,166873,73.0,165939,934,0,165939,934,0,0
22,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",0.6,"[0.600, 0.600]",2.0,"[2.000, 2.000]",False,8,7,247910,96.8,246289,1621,0,246289,1621,0,0
24,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",False,12,11,670480,527.5,669024,1456,0,669024,1456,0,0
40,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",0.2,"[0.200, 0.200]",2.0,"[2.000, 2.000]",False,5,4,106534,64.2,105797,737,0,105797,737,0,0
41,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",0.6,"[0.600, 0.600]",2.0,"[2.000, 2.000]",False,7,6,234818,88.6,233960,858,0,233960,858,0,0
43,Markets data retrieval only,Medium,attributes,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",3.0,"[3.000, 3.000]",False,8,7,168361,73.8,167122,1239,0,167122,1239,0,0
65,Markets data retrieval only,Easy,attributes,3.0,"[3.000, 3.000]",0.0,"[0.000, 0.000]",3.0,"[3.000, 3.000]",False,13,12,720034,215.3,717951,2083,0,717951,2083,0,0
124,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",3.0,"[3.000, 3.000]",False,7,6,101562,48.8,100961,601,0,100961,601,0,0
127,Markets data retrieval and analysis,Medium,accuracy,3.0,"[3.000, 3.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",False,9,8,165937,84.2,164932,1005,0,164932,1005,0,0
140,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",3.0,"[3.000, 3.000]",False,10,9,681220,343.9,679714,1506,0,679714,1506,0,0
141,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,13,12,944641,349.6,942920,1721,0,942920,1721,0,0
144,Markets data retrieval and analysis,Medium,accuracy,3.0,"[3.000, 3.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",False,8,7,264361,90.7,263218,1143,0,263218,1143,0,0
153,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,7,6,121314,74.9,120427,887,0,120427,887,0,0
156,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,10,9,176849,224.2,175430,1419,0,175430,1419,0,0
172,Markets data retrieval and analysis,Medium,accuracy,3.0,"[3.000, 3.000]",0.0,"[0.000, 0.000]",3.0,"[3.000, 3.000]",False,9,8,352271,383.8,350785,1486,0,350785,1486,0,0
188,Knowledge retrieval and interpretation,Easy,attributes,3.0,"[3.000, 3.000]",0.8,"[0.800, 0.800]",2.0,"[2.000, 2.000]",False,4,3,465540,138.5,464724,816,0,464724,816,0,0
196,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",0.75,"[0.750, 0.750]",3.0,"[3.000, 3.000]",False,3,2,217288,74.8,216390,898,0,216390,898,0,0
204,Knowledge retrieval and interpretation,Easy,attributes,5.0,"[5.000, 5.000]",0.8,"[0.800, 0.800]",4.0,"[4.000, 4.000]",False,2,1,30406,22.2,29968,438,0,29968,438,0,0
208,Knowledge retrieval and interpretation,Hard,attributes,3.0,"[3.000, 3.000]",0.2,"[0.200, 0.200]",2.0,"[2.000, 2.000]",False,10,9,1633570,362.8,1631809,1761,0,1631809,1761,0,0
213,Knowledge retrieval and interpretation,Medium,attributes,3.0,"[3.000, 3.000]",0.25,"[0.250, 0.250]",2.0,"[2.000, 2.000]",False,5,4,668996,385.3,668028,968,0,668028,968,0,0
221,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",0.8,"[0.800, 0.800]",2.0,"[2.000, 2.000]",False,7,6,585214,176.0,583917,1297,0,583917,1297,0,0
