S/N,Category,Question type,Difficulty level,Question
1,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What detailed fees are associated with each decision point in the NYISO generation interconnection process based on the NYISO process manuals 23 and guide UG21?
2,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What detailed fees are associated with each decision point in the PJM generation interconnection process based on PJM process manuals 14H?
3,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What are the fees associated with each milestone in the ERCOT generation interconnection process based on ERCOT fee schedule and resource interconnection handbook?
4,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What fees are associated with each stage of the generation interconnection process for ISO New England, based on ISO-NE s Interconnection Process Guide and ISO-NE Tariff Schedule 22 Large Generator Interconnection Procedures (LGIP)?"
5,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What fees are associated with each stage of the generation interconnection process in the MISO interconnection workflow, according to MISO Tariff Attachment X Generator Interconnection Procedures (GIP)?"
6,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What fees are associated with each stage of the generation interconnection process in SPP based on SPP Open Access Transmission Tariff Attachment V Generator Interconnection Procedures?
7,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What fees are associated with the each step of the generation interconnection process in CAISO according to the interconnection study deposits and fees requirements documentation on the CAISO interconnection request and study website?
8,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the mininum capacity threshold for large generation assets interconnecting to NYISO's system at the transmission level according to NYISO process manuals 23 and guide UG21?
9,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the mininum capacity threshold for large generation assets interconnecting to PJM's system at the transmission level based on PJM process manuals 14H?
10,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the mininum capacity threshold for large generation assets interconnecting to ERCOT's system at the transmission level based on the ERCOT resource interconnection handbook?
11,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What is the mininum capacity threshold for large generation assets interconnecting to ISO New England's system at the transmission level, based on ISO-NE s Interconnection Process Guide and ISO-NE Tariff Schedule 22 Large Generator Interconnection Procedures (LGIP)?"
