question_id,category,difficulty,strategy,approach_mean,approach_ci,accuracy_mean,accuracy_ci,sources_mean,sources_ci,Failed,iterations,tool_calls,tokens,duration_s,total_input_tokens,total_output_tokens,total_cached_tokens,input_tokens,output_tokens,cached_tokens,reasoning_tokens
1,Knowledge retrieval and interpretation,Easy,attributes,3,"[3.000, 3.000]",0.0,"[0.000, 0.000]",2,"[2.000, 2.000]",False,3,2,47366,13.1,46932,434,33408,46932,434,33408,64
3,Knowledge retrieval and interpretation,Easy,attributes,4,"[4.000, 4.000]",0.0,"[0.000, 0.000]",2,"[2.000, 2.000]",False,3,2,46477,12.7,46017,460,33408,46017,460,33408,128
19,Knowledge retrieval and interpretation,Easy,attributes,4,"[4.000, 4.000]",0.0,"[0.000, 0.000]",2,"[2.000, 2.000]",False,3,2,44714,12.6,44220,494,32384,44220,494,32384,128
20,Knowledge retrieval and interpretation,Easy,attributes,5,"[5.000, 5.000]",0.6,"[0.600, 0.600]",3,"[3.000, 3.000]",False,5,4,97405,38.1,95955,1450,80512,95955,1450,80512,448
22,Knowledge retrieval and interpretation,Medium,attributes,5,"[5.000, 5.000]",0.8,"[0.800, 0.800]",3,"[3.000, 3.000]",False,3,2,61189,51.9,58741,2448,29184,58741,2448,29184,384
24,Knowledge retrieval and interpretation,Medium,attributes,5,"[5.000, 5.000]",0.0,"[0.000, 0.000]",4,"[4.000, 4.000]",False,4,3,94859,191.4,84309,10550,60672,84309,10550,60672,320
40,Knowledge retrieval and interpretation,Medium,attributes,4,"[4.000, 4.000]",0.6,"[0.600, 0.600]",4,"[4.000, 4.000]",False,3,2,47313,32.4,46086,1227,32256,46086,1227,32256,256
41,Knowledge retrieval and interpretation,Medium,attributes,4,"[4.000, 4.000]",0.8,"[0.800, 0.800]",2,"[2.000, 2.000]",False,4,3,74669,34.0,73493,1176,49152,73493,1176,49152,256
43,Markets data retrieval only,Medium,attributes,4,"[4.000, 4.000]",0.0,"[0.000, 0.000]",4,"[4.000, 4.000]",False,4,3,44951,18.9,44271,680,39168,44271,680,39168,192
65,Markets data retrieval only,Easy,attributes,5,"[5.000, 5.000]",0.5,"[0.500, 0.500]",3,"[3.000, 3.000]",False,5,4,65471,24.0,64284,1187,57856,64284,1187,57856,384
124,Markets data retrieval and analysis,Medium,accuracy,4,"[4.000, 4.000]",1.0,"[1.000, 1.000]",4,"[4.000, 4.000]",False,4,3,53379,22.0,52713,666,44160,52713,666,44160,128
127,Markets data retrieval and analysis,Medium,accuracy,5,"[5.000, 5.000]",1.0,"[1.000, 1.000]",2,"[2.000, 2.000]",False,6,5,68760,142.9,68196,564,62720,68196,564,62720,192
