question_id,category,difficulty,strategy,approach_mean,approach_ci,accuracy_mean,accuracy_ci,sources_mean,sources_ci,Failed,iterations,tool_calls,tokens,duration_s,total_input_tokens,total_output_tokens,total_cached_tokens,input_tokens,output_tokens,cached_tokens,reasoning_tokens
1,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",False,10,9,317514,204.8,315181,2333,232576,315181,2333,232576,0
3,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,11,10,401695,158.2,399848,1847,233728,399848,1847,233728,0
19,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",False,6,5,145228,182.0,143251,1977,105216,143251,1977,105216,0
20,Knowledge retrieval and interpretation,Easy,attributes,5.0,"[5.000, 5.000]",0.8,"[0.800, 0.800]",2.0,"[2.000, 2.000]",False,12,11,518187,227.0,516308,1879,282496,516308,1879,282496,0
22,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",0.6,"[0.600, 0.600]",2.0,"[2.000, 2.000]",False,12,11,468743,221.7,466429,2314,353216,466429,2314,353216,0
24,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,10,9,355970,155.1,354051,1919,239680,354051,1919,239680,0
40,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",0.2,"[0.200, 0.200]",2.0,"[2.000, 2.000]",False,6,5,144032,110.3,142681,1351,105664,142681,1351,105664,0
41,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",0.6,"[0.600, 0.600]",2.0,"[2.000, 2.000]",False,13,12,347529,144.2,345949,1580,294976,345949,1580,294976,0
43,Markets data retrieval only,Medium,attributes,4.0,"[4.000, 4.000]",0.75,"[0.750, 0.750]",1.0,"[1.000, 1.000]",False,20,19,440743,338.4,437092,3651,379776,437092,3651,379776,0
65,Markets data retrieval only,Easy,attributes,4.0,"[4.000, 4.000]",0.25,"[0.250, 0.250]",3.0,"[3.000, 3.000]",False,12,11,220717,215.8,218033,2684,195072,218033,2684,195072,0
124,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",3.0,"[3.000, 3.000]",False,10,9,180967,258.6,177786,3181,136576,177786,3181,136576,0
127,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",3.0,"[3.000, 3.000]",False,15,14,278463,466.5,276017,2446,232832,276017,2446,232832,0
140,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",3.0,"[3.000, 3.000]",False,15,14,1126541,325.3,1123105,3436,777152,1123105,3436,777152,0
141,Markets data retrieval and analysis,Medium,accuracy,3.0,"[3.000, 3.000]",0.0,"[0.000, 0.000]",3.0,"[3.000, 3.000]",False,24,23,1913033,681.5,1907258,5775,1614400,1907258,5775,1614400,0
144,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",False,15,14,1184556,441.7,1179673,4883,949760,1179673,4883,949760,0
153,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,14,13,267917,470.4,263538,4379,238848,263538,4379,238848,0
156,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",1.0,"[1.000, 1.000]",False,13,12,229642,729.9,227882,1760,178560,227882,1760,178560,0
172,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",0.15,"[0.150, 0.150]",3.0,"[3.000, 3.000]",False,18,17,1384454,277.1,1381683,2771,1109824,1381683,2771,1109824,0
188,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",0.2,"[0.200, 0.200]",2.0,"[2.000, 2.000]",False,7,6,775928,189.4,774328,1600,368384,774328,1600,368384,0
196,Knowledge retrieval and interpretation,Easy,attributes,3.0,"[3.000, 3.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,5,4,380362,89.7,379895,467,39872,379895,467,39872,0
204,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",0.6,"[0.600, 0.600]",2.0,"[2.000, 2.000]",False,4,3,257690,126.1,256659,1031,39936,256659,1031,39936,0
208,Knowledge retrieval and interpretation,Hard,attributes,2.0,"[2.000, 2.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",True,6,5,181420,70.6,180827,593,58112,180827,593,58112,0
213,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,6,5,175338,70.6,174796,542,65728,174796,542,65728,0
221,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",0.8,"[0.800, 0.800]",3.0,"[3.000, 3.000]",False,6,5,370426,213.4,368307,2119,93888,368307,2119,93888,0
229,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",0.4,"[0.400, 0.400]",2.0,"[2.000, 2.000]",False,4,3,257670,120.3,256598,1072,136320,256598,1072,136320,0
232,Advanced quantitative modeling and decision analytics,Hard,accuracy,2.0,"[2.000, 2.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,25,25,581079,1311.0,578302,2777,494272,578302,2777,494272,0
234,Advanced quantitative modeling and decision analytics,Hard,accuracy,3.0,"[3.000, 3.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,25,25,585314,1141.3,581619,3695,424256,581619,3695,424256,0
244,Advanced quantitative modeling and decision analytics,Hard,accuracy,4.0,"[4.000, 4.000]",0.05,"[0.050, 0.050]",2.0,"[2.000, 2.000]",False,16,15,484958,843.4,475960,8998,320768,475960,8998,320768,0
245,Advanced quantitative modeling and decision analytics,Hard,accuracy,3.0,"[3.000, 3.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,25,25,590951,705.5,585611,5340,510912,585611,5340,510912,0
249,Advanced quantitative modeling and decision analytics,Hard,accuracy,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,25,25,604288,816.6,594554,9734,527232,594554,9734,527232,0
